level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich heiße Buddy. Ich bin dein Deutschlehrer.,100.0,1,0,3,
A1,Was ist das?,Das ist Buddy. Ich bin dein Deutschlehrer. Wir lernen zusammen. Machst du mit?,,0,0,5,
A1,Ist dein Buch neu?,"Ja, mein Buch ist neu. Das macht mir Spaß.",100.0,3,0,1,
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter.,,0,0,2,
A1,Wo wohnst du?,Ich wohne in Berlin. Ich wohne hier bei dir.,100.0,1,0,2,
A1,Wohnst du in Berlin oder in München?,Ich wohne nicht in Berlin oder München. Ich wohne in Frankfurt.,100.0,2,0,3,
A1,Magst du lieber Brot oder Wasser?,Ich trinke gern Wasser. Brot esse ich auch. Beides schmeckt gut.,100.0,4,0,4,
A1,Hast du einen Bruder oder eine Schwester?,Ich habe keine Geschwister. Ich bin eine KI. Aber ich bin dein Freund.,100.0,1,0,2,
A1,Magst du lieber Schwarz oder Weiß?,Ich mag beide Farben. Schwarz und Weiß sind sehr schön.,100.0,1,0,4,
A1,Hast du einen Hund?,"Ich bin eine KI, also habe ich keinen Hund. Aber ich mag Hunde sehr gern!",100.0,2,0,2,
A1,Guten Morgen! Wie geht es dir?,Guten Morgen! Mir geht es gut. Danke! Und dir?,100.0,2,0,2,
A1,Was machst du?,Ich bin dein Deutsch-Buddy. Ich helfe dir beim Lernen. Wir machen heute eine kleine Übung.,100.0,1,0,7,
A1,Kannst du gut Fahrrad fahren?,"Ja, ich kann gut Fahrrad fahren. Das macht mir großen Spaß.",100.0,3,0,3,
A1,Danke schön!,Bitte sehr! Ich freue mich.,,0,0,1,
A1,Wie viele Äpfel möchtest du?,Ich möchte zwei Äpfel. Danke!,100.0,1,0,1,
A1,Wie spät ist es?,"Ich habe keine Uhr. Ich weiß nicht, wie spät es ist. Frage bitte einen Freund.",100.0,2,0,3,
A1,Trinkst du gern Milch?,"Ja, ich trinke gern Milch. Sie ist sehr lecker.",100.0,2,0,2,
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Ich bin eine KI. Ich habe nur Daten.",,0,0,3,
A1,Wie ist dein Name?,Hallo! Ich bin Buddy. Wie ist dein Name?,100.0,1,0,2,
A1,Kommst du aus Spanien oder aus Italien?,Ich komme nicht aus Spanien. Ich komme aus der Schweiz.,100.0,1,0,3,
A2,Ist der Bahnhof weit von hier?,"Nein, der Bahnhof ist nicht weit. Du musst nur zwei Straßen weitergehen. Es ist ganz einfach zu finden.",100.0,5,0,3,
A2,Was kostet das?,Das kostet drei Euro. Hier ist das Geld.,100.0,4,0,0,
A2,Wie viele Kilo Äpfel möchtest du kaufen?,Ich möchte zwei Kilo Äpfel kaufen. Sind die Äpfel heute frisch?,100.0,3,0,4,
A2,Fährt der Bus um neun Uhr ab?,"Ja, der Bus fährt um neun Uhr ab. Das ist die richtige Uhrzeit.",100.0,3,0,4,
A2,Regnet es heute?,"Ich weiß nicht, wie das Wetter heute ist. Bitte schaue aus dem Fenster oder in die App.",,0,0,6,
A2,Warst du gestern zu Hause oder unterwegs?,Ich war gestern zu Hause. Ich bin eine KI und habe keine Pläne. Warst du unterwegs?,,0,0,5,
A2,Gehst du oft ins Kino?,"Nein, ich gehe nicht oft ins Kino. Ich schaue lieber Filme zu Hause.",100.0,2,0,5,
A2,Was machst du in deiner Freizeit?,In meiner Freizeit lese ich gerne Bücher. Manchmal gehe ich auch spazieren. Das macht mir großen Spaß.,100.0,3,0,7,
A2,Ich suche ein Zimmer.,Das ist gut. Suchen Sie ein Einzelzimmer oder ein Doppelzimmer? Haben Sie ein Budget?,100.0,1,0,4,
