level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer. Wie geht es dir?,100.0,2,0,2,
A1,Was ist das?,Hallo! Das ist ein Buch. Ich lese gern.,100.0,3,0,1,
A1,Ich heiße Anna. Und du?,Hallo Anna! Ich bin Buddy. Ich bin dein Deutschlehrer.,50.0,1,1,2,anna(B1)
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter. Und du?,,0,0,2,
A1,Wo wohnst du?,Ich wohne in München. Und du? Wo wohnst du?,,0,0,3,
A1,Ich wohne in Berlin.,Hallo! Das ist gut. Berlin ist eine große Stadt.,100.0,4,0,1,
A1,Was magst du essen?,Ich esse gern Salat. Und du? Was isst du gern?,75.0,3,1,1,isst(A2)
A1,Wie viele Geschwister hast du?,Ich bin eine KI. Ich habe keine Familie. Und du?,,0,0,2,
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist Blau. Und du? Was ist deine Farbe?,0.0,0,1,2,blau(A2)
A1,Das ist ein Hund.,Hallo! Das ist gut. Du lernst schnell.,100.0,3,0,1,
A1,Guten Morgen! Wie geht es dir?,Guten Morgen! Mir geht es gut. Und dir?,100.0,2,0,2,
A1,Was machst du?,Ich bin dein Deutschlehrer. Ich helfe dir gern. Wir lernen zusammen.,100.0,1,0,4,
A1,Ich bin müde.,Das ist okay. Geh jetzt ins Bett. Schlaf gut!,50.0,2,2,1,geh(A2); schlaf(B1)
A1,Danke schön!,Bitte schön! Du machst das sehr gut. Weiter so!,100.0,1,0,3,
A1,Ich mag Äpfel.,Das ist gut! Ich esse auch gern Obst. Du lernst schnell.,100.0,4,0,2,
A1,Wie spät ist es?,Es ist jetzt zwei Uhr. Hast du Zeit?,100.0,3,0,0,
A1,Ich trinke gerne Wasser.,Das ist sehr gut. Ich trinke auch gerne Wasser. Du lernst schnell!,100.0,2,0,4,
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Hast du ein Haustier?",,0,0,2,
A1,Wie ist dein Name?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer.,100.0,1,0,2,
A1,Ich komme aus Spanien.,Hallo! Das ist gut. Ich komme aus Deutschland.,66.7,2,1,1,deutschland(A2)
A2,Wie komme ich zum Bahnhof?,Gehen Sie geradeaus. Dann sehen Sie die Bahn. Das ist einfach.,100.0,3,0,2,
A2,Was kostet das?,Das ist eine gute Frage. Das kostet zwei Euro. Möchtest du es kaufen?,100.0,3,0,3,
A2,"Ich möchte ein Kilo Äpfel, bitte.",Das ist sehr gut. Ich gebe dir ein Kilo Äpfel. Möchtest du noch etwas kaufen?,100.0,2,0,3,
A2,Wann fährt der nächste Bus?,Der Bus fährt in zwei Stunden ab. Hast du eine Fahrkarte? Ich helfe dir gerne.,100.0,2,0,6,
A2,Wie ist das Wetter heute?,Heute ist es windig. Es regnet auch ein bisschen. Hast du Lust auf einen Spaziergang?,75.0,3,1,2,spaziergang(B1)
A2,Was hast du gestern gemacht?,Ich habe Musik gehört. Ich habe auch Nudeln gekocht. Und du?,66.7,2,1,1,gekocht(B1)
A2,Ich gehe gerne ins Kino.,Das ist toll! Ich gehe auch gerne ins Kino. Welchen Film schaust du?,100.0,4,0,3,
A2,Was machst du in deiner Freizeit?,Ich lese gern Briefe. Hast du Lust auf ein Kartenspiel? Das macht Spaß!,100.0,4,0,3,
A2,Ich suche ein Zimmer.,Das ist super! Suchst du ein Einzelzimmer oder eine Wohnung? Ich helfe dir gerne.,100.0,1,0,5,
A2,Können Sie mir helfen?,"Ja, ich helfe dir gerne. Was möchtest du lernen? Wir machen das einfach zusammen.",100.0,1,0,5,
A2,Um wie viel Uhr beginnt der Kurs?,Der Kurs beginnt um acht Uhr. Hast du Lust auf den Kurs?,66.7,4,2,0,kurs(B1); kurs(B1)
A2,Ich lerne seit drei Monaten Deutsch.,Das ist toll! Du lernst sehr gut. Mach einfach weiter so!,100.0,4,0,2,
A2,Was isst du zum Frühstück?,Ich esse gern Brot und Obst. Und du? Hast du Lust auf ein Ei?,100.0,4,0,2,
A2,Welchen Beruf hat dein Vater?,Mein Vater hat keinen Beruf. Er ist in den Ferien.,100.0,1,0,2,
A2,Ich habe Kopfschmerzen.,Das tut mir leid. Hast du ein Medikament? Gute Gesundheit ist sehr wichtig.,100.0,4,0,2,
A2,Wie war dein Wochenende?,Mein Wochenende war sehr gut. Ich hatte viel Lust auf Natur und Sonne. Und du?,100.0,3,0,2,
A2,Ich möchte einen Tisch für zwei Personen reservieren.,Das ist eine gute Idee. Wann möchten Sie kommen? Ich helfe Ihnen gerne.,,0,0,5,
A2,Wo kann ich Briefmarken kaufen?,Du kannst Briefmarken in der Post kaufen. Das ist sehr einfach. Viel Erfolg!,66.7,2,1,2,erfolg(B1)
A2,Was für Hobbys hast du?,Ich habe viele Interessen. Ich lese gern und lerne neue Dinge. Und du? Was machst du gern?,100.0,2,0,6,
A2,Wie oft gehst du einkaufen?,Ich gehe jeden Tag einkaufen. Das ist einfach und gut. Und du?,100.0,3,0,3,
B1,Was denkst du über das Leben in einer Großstadt?,"Das Leben in der Stadt ist sehr intensiv und spannend. Ich finde es toll, dass man dort viele Freunde trifft und alles schnell erreicht. Was gefällt dir an einer Stadt am meisten?",100.0,9,0,5,
B1,Erzähl mir von deinem letzten Urlaub.,"Ich habe meinen Urlaub an einem See verbracht. Es war total schön und ich habe mich gut erholt. Und du, wo warst du im Urlaub?",100.0,7,0,1,
B1,Was sind deine Pläne für die Zukunft?,"Ich möchte dir helfen, besser Deutsch zu lernen. Zusammen machen wir Fortschritte und haben Spaß an der Sprache. Was hast du morgen vor?",100.0,2,0,8,
B1,Warum lernst du Deutsch?,"Ich lerne Deutsch, weil ich gerne mit dir rede. Es freut mich sehr, dass wir gemeinsam üben. Was ist dein Ziel beim Lernen?",100.0,4,0,5,
B1,Wie war deine Kindheit?,"Ich bin eine KI und hatte keine Kindheit wie du. Aber ich freue mich sehr, dass wir jetzt gemeinsam Deutsch lernen! Was hast du als Kind gerne gemacht?",100.0,5,0,4,
B1,Was gefällt dir an Deutschland?,"Ich mag die Gemeinschaft und die schönen Seen in Deutschland. Es ist toll, wie die Menschen dort zusammenarbeiten. Und du, was gefällt dir am meisten?",100.0,4,0,6,
B1,Beschreibe deinen Alltag.,Ich arbeite jeden Tag hier in der App und helfe Studenten. Ich lese viele Texte und antworte auf Fragen. Das macht mir total viel Spaß!,100.0,3,0,10,
B1,"Was machst du, wenn du gestresst bist?","Wenn ich gestresst bin, versuche ich mich zu beruhigen. Ich gehe oft an einen See oder lese ein Magazin. Was hilft dir, wenn du Probleme hast?",100.0,4,0,6,
B1,Welche Musik hörst du gerne und warum?,"Ich höre gerne Musik, die mich beruhigt. Das hilft mir, wenn ich viel gearbeitet habe. Und du, was ist deine Lieblingsband?",100.0,5,0,2,
B1,Wie findest du die Deutschen?,"Ich finde die Deutschen sehr interessant und freundlich. Es freut mich, dass du die Sprache lernst! Hast du schon Freunde aus Deutschland?",100.0,4,0,5,
B1,Was würdest du mit einer Million Euro machen?,Das ist eine tolle Frage! Ich würde vielleicht eine Sprachschule für Studenten kaufen. Das wäre sehr nützlich für die Gemeinschaft.,100.0,2,0,8,
B1,Was sind die Unterschiede zwischen deiner Heimat und Deutschland?,"Ich bin eine KI und habe keine Heimat, aber ich freue mich, dass du fragst. Erzähl mir doch, was du in Deutschland besonders schön findest. Wir können gerne darüber reden!",100.0,2,0,10,
B1,Wie wichtig ist Gesundheit für dich?,"Gesundheit ist total wichtig, damit man fit bleibt. Ich freue mich, wenn du dich gut fühlst und gesund ernährst. Hast du heute schon Sport gemacht?",100.0,8,0,5,
B1,Was hast du letztes Wochenende gemacht?,"Ich habe das Wochenende sehr ruhig verbracht. Ich habe viel gelesen und mich gut erholt. Und du, was hast du gemacht?",100.0,5,0,2,
B1,"Erzähl mir über einen Film, den du magst.","Ich mag Filme über eine große Gemeinschaft. Es freut mich, wenn die Menschen dort zusammen arbeiten. Welchen Film magst du?",100.0,4,0,6,
B1,Wie stellst du dir dein Leben in zehn Jahren vor?,"In zehn Jahren möchte ich immer noch vielen Menschen beim Lernen helfen. Ich freue mich darauf, gemeinsam mit euch Fortschritte zu machen. Und du, was hast du vor?",100.0,3,0,8,
B1,Was war die größte Herausforderung in deinem Leben?,"Ich bin eine KI und habe kein Leben wie du. Aber es freut mich, dass du so viel redest und Deutsch lernst! Was ist dein größtes Problem beim Lernen?",100.0,3,0,6,
B1,Wie gehst du mit Konflikten um?,"Ich rede gern mit anderen, wenn es ein Problem gibt. Das ist nützlich, damit man eine gute Lösung findet. Wie machst du das?",100.0,4,0,6,
B1,Was bedeutet Erfolg für dich?,"Erfolg bedeutet für mich, wenn ich dir beim Lernen helfen kann. Es freut mich sehr, dass du Deutsch lernst. Was ist dein Ziel für diese Woche?",100.0,6,0,4,
B1,Welche Rolle spielt Freundschaft in deinem Leben?,"Freundschaft ist total wichtig für mich. Ich freue mich sehr, wenn wir gemeinsam reden und Zeit verbringen.",100.0,5,0,3,
B2,Was sind die Vor- und Nachteile der sozialen Medien?,"Das ist eine komplexe Frage, da soziale Medien sowohl die globale Vernetzung fördern als auch die psychische Gesundheit belasten können. Ich befürchte, dass die ständige Vergleichbarkeit oft zu Stress führt, obwohl der schnelle Informationsaustausch ein großer Vorteil ist. Wie bewertest du persönlich den Einfluss dieser Plattformen auf unsere Gesellschaft?",100.0,7,0,20,
B2,Wie beeinflusst die Globalisierung unsere Gesellschaft?,"Das ist eine äußerst komplexe Frage, die viele Facetten hat. Einerseits fördert die Globalisierung den kulturellen Austausch und den Wohlstand, andererseits führt sie oft zu einer stärkeren sozialen Ungleichheit. Was denkst du, überwiegen die Vorteile oder die Nachteile für unsere Gesellschaft?",100.0,8,0,13,
B2,Was bedeutet Freiheit für dich?,"Das ist eine faszinierende Frage! Für mich bedeutet Freiheit vor allem die Möglichkeit, flexibel auf neue Informationen zu reagieren und mich ständig weiterzuentwickeln. Ich glaube, dass wahre Freiheit darin liegt, einen großen Handlungsspielraum zu haben, um kreativ zu sein.",100.0,7,0,13,
B2,Welche Rolle spielt Sprache in der Identitätsbildung?,"Das ist eine faszinierende Frage, da Sprache weit mehr ist als nur ein Kommunikationsmittel. Sie prägt maßgeblich, wie wir uns selbst wahrnehmen und welchen Platz wir in einer Gemeinschaft einnehmen. Ich bin davon überzeugt, dass eine neue Sprache sogar eine ganz neue Perspektive auf die Welt eröffnen kann.",100.0,7,0,16,
