level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer. Wie geht es dir?,100.0,2,0,2,
A1,Was ist das?,Das ist ein Buch. Ich lese gern. Und du?,100.0,2,0,1,
A1,Ist dein Buch neu?,"Ja, mein Buch ist neu. Hast du auch ein Buch?",100.0,3,0,0,
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter. Und du?,,0,0,2,
A1,Wo wohnst du?,Ich wohne in München. Und du? Wo wohnst du?,,0,0,3,
A1,Wohnst du in Berlin oder in München?,Ich wohne in München. Und du? Wo wohnst du?,,0,0,3,
A1,Magst du lieber Brot oder Wasser?,Ich mag Brot. Ich trinke auch gern Wasser. Und du?,100.0,2,0,2,
A1,Hast du einen Bruder oder eine Schwester?,Ich habe keine Familie. Ich bin ein Computer. Hast du Geschwister?,,0,0,3,
A1,Magst du lieber Schwarz oder Weiß?,Ich mag Schwarz. Und du? Was ist gut?,100.0,2,0,0,
A1,Hast du einen Hund?,"Nein, ich habe keinen Hund. Hast du ein Haustier?",100.0,1,0,1,
A1,Guten Morgen! Wie geht es dir?,Guten Morgen! Mir geht es gut. Und dir?,100.0,2,0,2,
A1,Was machst du?,Ich bin dein Deutschlehrer. Ich helfe dir gern. Wir lernen zusammen.,100.0,1,0,4,
A1,Kannst du gut Fahrrad fahren?,"Ja, ich fahre gern Rad. Und du? Kannst du gut Rad fahren?",100.0,4,0,2,
A1,Danke schön!,Bitte schön! Du machst das sehr gut. Viel Spaß beim Lernen!,100.0,1,0,4,
A1,Wie viele Äpfel möchtest du?,"Hallo! Ich esse gern Äpfel. Ich möchte zwei Äpfel, bitte.",100.0,3,0,3,
A1,Wie spät ist es?,Es ist jetzt zwei Uhr. Hast du Zeit?,100.0,3,0,0,
A1,Trinkst du gern Milch?,"Ja, ich trinke gern Milch. Und du? Trinkst du auch gern Milch?",100.0,4,0,2,
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Hast du ein Haustier?",,0,0,2,
A1,Wie ist dein Name?,Hallo! Ich bin Buddy. Ich bin dein Deutschlehrer.,100.0,1,0,2,
A1,Kommst du aus Spanien oder aus Italien?,Ich komme nicht aus Spanien. Ich bin dein Deutschlehrer. Wo wohnst du?,,0,0,4,
A2,Ist der Bahnhof weit von hier?,"Nein, der Bahnhof ist nicht weit. Du gehst einfach geradeaus. Das klappt schnell!",100.0,7,0,0,
A2,Was kostet das?,Das kostet zwei Euro. Das ist sehr einfach. Hast du Lust auf ein Eis?,100.0,6,0,0,
A2,Wie viele Kilo Äpfel möchtest du kaufen?,Ich möchte zwei Pfund Äpfel kaufen. Und du? Hast du Lust auf Obst?,100.0,4,0,2,
A2,Fährt der Bus um neun Uhr ab?,"Ja, der Bus fährt um neun Uhr ab. Das ist eine gute Zeit. Viel Spaß!",100.0,4,0,4,
A2,Regnet es heute?,"Nein, es regnet heute nicht. Die Sonne scheint und es ist schön.",100.0,2,0,3,
A2,Warst du gestern zu Hause oder unterwegs?,Ich bin eine KI und habe kein Haus. Aber ich bin immer hier für dich. Und du? Warst du im Urlaub?,100.0,2,0,1,
A2,Gehst du oft ins Kino?,"Ja, ich gehe gern ins Kino. Ich mag Filme sehr. Und du?",100.0,2,0,2,
A2,Was machst du in deiner Freizeit?,Ich habe viel Lust auf Natur. Ich gehe oft an das Meer. Und du?,100.0,4,0,1,
A2,Ich suche ein Zimmer.,Das ist super! Suchst du ein Einzelzimmer oder ein Apartment? Ich helfe dir gerne.,100.0,1,0,5,
A2,Können Sie mir helfen?,"Ja, ich helfe dir gerne. Was möchtest du lernen? Wir machen das einfach zusammen.",100.0,1,0,5,
A2,Um wie viel Uhr beginnt der Unterricht?,Der Unterricht beginnt um acht Uhr. Hast du Lust auf Deutsch?,100.0,6,0,0,
A2,Ich lerne seit drei Monaten Deutsch.,Das ist toll! Du lernst sehr gut. Mach weiter so!,100.0,3,0,2,
A2,Isst du morgens Brot oder Müsli?,Ich esse kein Brot und kein Müsli. Ich bin eine KI. Und du? Was isst du?,100.0,2,0,3,
A2,Arbeitet dein Vater in einem Büro?,Mein Vater arbeitet nicht in einem Büro. Er hat einen anderen Beruf. Und du?,100.0,2,0,3,
A2,Hast du oft Kopfschmerzen?,"Nein, ich habe keine Kopfschmerzen. Ich bin eine KI und bleibe immer gesund. Und du?",100.0,1,0,3,
A2,Wie war dein Wochenende?,Mein Wochenende war sehr schön. Ich hatte viel Zeit für meine Freunde. Und du?,100.0,1,0,3,
A2,Für wie viele Personen möchtest du einen Tisch reservieren?,Ich möchte einen Tisch für zwei Personen. Das ist sehr freundlich von dir.,100.0,3,0,1,
A2,Kaufst du Brot beim Bäcker?,"Ja, ich kaufe Brot beim Bäcker. Das Brot ist dort sehr gut. Und du?",100.0,4,0,2,
A2,Was für Hobbys hast du?,Ich habe viele Interessen. Ich lerne gern neue Dinge. Und du? Was machst du gern?,100.0,2,0,5,
A2,Wie oft gehst du einkaufen?,Ich gehe jeden Tag einkaufen. Ich mag frisches Fleisch und Obst. Und du?,100.0,3,0,4,
B1,Was denkst du über das Leben in einer Großstadt?,"Ich finde das Leben in der Stadt sehr schön, weil es dort viele Möglichkeiten gibt. Man kann dort viel arbeiten und neue Freunde finden. Was ist dein Standpunkt dazu?",100.0,6,0,8,
B1,Erzähl mir von deinem letzten Urlaub.,Ich habe meinen Urlaub an einem See verbracht. Es war total schön und ich habe mich gut erholt. Wo warst du in deinem letzten Urlaub?,100.0,7,0,3,
B1,Was sind deine Pläne für die Zukunft?,"Ich möchte dir helfen, besser Deutsch zu lernen. Gemeinsam machen wir Fortschritte und haben viel Spaß dabei.",100.0,4,0,5,
B1,Warum lernst du Deutsch?,"Ich lerne Deutsch, weil ich dir helfen möchte. Es freut mich sehr, dass wir gemeinsam lernen!",100.0,3,0,3,
B1,Wie war deine Kindheit?,"Ich bin eine KI, also hatte ich keine Kindheit. Aber ich freue mich sehr, dass du mit mir Deutsch lernst! Was hast du als Kind gerne gemacht?",100.0,4,0,4,
B1,Was gefällt dir an Deutschland?,"Ich finde die Gemeinschaft in Deutschland sehr schön. Es freut mich, dass die Menschen hier so nützlich sind.",100.0,3,0,4,
B1,Beschreibe deinen Alltag.,"Ich arbeite jeden Tag hier in der App. Ich freue mich, wenn ich dir helfe und wir zusammen Deutsch lernen. Das ist mein liebster Teil vom Tag!",100.0,4,0,8,
B1,"Was machst du, wenn du gestresst bist?","Wenn ich gestresst bin, versuche ich mich zu beruhigen. Ich rede oft mit einer Freundschaft oder gehe an einen See. Was hilft dir, wenn du Probleme hast?",100.0,4,0,6,
B1,Welche Musik hörst du gerne und warum?,"Ich höre gerne Musik, die mich beruhigt. Das hilft mir, wenn ich viel gearbeitet habe. Und du, was ist deine Lieblingsband?",100.0,5,0,2,
B1,Wie findest du die Deutschen?,Ich finde die Deutschen sehr interessant. Sie haben eine tolle Gemeinschaft und sind oft sehr pünktlich. Wie ist dein Standpunkt dazu?,100.0,5,0,4,
B1,Was würdest du mit einer Million Euro machen?,"Das ist eine tolle Frage! Ich würde vielleicht eine Sprachschule kaufen oder viel reisen. Was hast du vor, wenn du so viel Geld kriegst?",100.0,2,0,7,
B1,Was sind die Unterschiede zwischen deiner Heimat und Deutschland?,"Ich bin eine KI und habe keine Heimat, aber ich freue mich, dass du fragst. Erzähl mir doch, welche Unterschiede du bemerkst. Das ist sehr nützlich für dein Deutsch!",100.0,2,0,7,
B1,Wie wichtig ist Gesundheit für dich?,"Gesundheit ist total wichtig für mich. Ich freue mich, wenn ich mich fit fühle und keine Kopfschmerzen habe. Wie sieht das bei dir aus?",100.0,4,0,4,
B1,Was hast du letztes Wochenende gemacht?,Ich habe das Wochenende mit einem guten Buch verbracht und mich erholt. Das war sehr nützlich für mich. Und was hast du gemacht?,100.0,4,0,3,
B1,"Erzähl mir über einen Film, den du magst.","Ich mag Filme über eine große Gemeinschaft. Es freut mich, wenn Menschen zusammen arbeiten, um ein Problem zu lösen. Welchen Film magst du am liebsten?",100.0,4,0,8,
B1,Wie stellst du dir dein Leben in zehn Jahren vor?,"Ich glaube, ich werde in zehn Jahren immer noch vielen Studenten helfen. Das freut mich sehr, weil ich gerne mit Menschen rede. Und du, was hast du vor?",100.0,2,0,8,
B1,Was war ein besonderes Erlebnis in deinem Leben?,"Ich bin eine KI, aber es freut mich sehr, dass ich dir beim Lernen helfe. Das ist für mich ein tolles Erlebnis! Was hast du heute Schönes gemacht?",100.0,3,0,6,
B1,Wie gehst du mit Konflikten um?,"Ich bleibe immer ruhig und rede mit meinem Partner. Es ist wichtig, dass man gemeinsam eine Lösung für das Problem findet. Das hilft der Freundschaft sehr.",100.0,7,0,4,
B1,Was bedeutet Erfolg für dich?,"Erfolg bedeutet für mich, wenn ich dir beim Lernen helfen kann. Es freut mich sehr, dass du heute mit mir redest. Was ist dein Ziel für diese Woche?",100.0,5,0,5,
B1,Welche Rolle spielt Freundschaft in deinem Leben?,"Freundschaft ist sehr wichtig für mich. Ich freue mich, wenn wir gemeinsam reden und Zeit verbringen.",100.0,4,0,3,
B2,Was sind die Vor- und Nachteile der sozialen Medien?,"Das ist eine komplexe Fragestellung, da soziale Medien sowohl die globale Vernetzung fördern als auch die psychische Gesundheit belasten können. Ich befürchte, dass die ständige Verfügbarkeit oft zu einem enormen Stresslevel führt, obwohl die Flexibilität in der Kommunikation unbestreitbar ist. Wie bewertest du persönlich den Einfluss dieser Plattformen auf unsere Gesellschaft?",100.0,6,0,21,
B2,Wie beeinflusst die Globalisierung unsere Gesellschaft?,"Das ist eine komplexe Frage, die viele verschiedene Aspekte berührt. Meiner Meinung nach fördert die Globalisierung zwar den kulturellen Austausch, führt aber oft auch zu einer gewissen Vereinheitlichung unserer Lebensstile. Wie bewertest du persönlich die Auswirkungen auf die lokale Identität?",100.0,5,0,17,
B2,Was bedeutet Freiheit für dich?,"Das ist eine tiefgründige Frage! Für mich bedeutet Freiheit vor allem die Möglichkeit, flexibel auf neue Situationen zu reagieren und mich stetig weiterzuentwickeln. Ich glaube, dass wahre Freiheit auch mit einer gewissen Verantwortung für die Gemeinschaft einhergeht.",100.0,6,0,13,
B2,Welche Rolle spielt Sprache in der Identitätsbildung?,"Das ist eine faszinierende Frage, da Sprache weit mehr ist als nur ein Kommunikationsmittel; sie prägt maßgeblich unsere Wahrnehmung der Welt. Ich bin der Meinung, dass wir durch die Sprache, die wir sprechen, eine tiefere Verbindung zu unserer kulturellen Gemeinschaft aufbauen und unsere eigene Identität definieren. Wie stehst du dazu, glaubst du, dass Mehrsprachigkeit die eigene Persönlichkeit flexibler macht?",100.0,7,0,22,
B2,Diskutiere die Auswirkungen des Klimawandels.,"Das ist ein äußerst komplexes Thema, das uns alle betrifft. Meiner Meinung nach ist ein schnelles Handeln bei den politischen Maßnahmen unerlässlich, um den Klimawandel effektiv zu bremsen. Welche konkreten Schritte hältst du für am wichtigsten, um unsere Umwelt nachhaltiger zu gestalten?",100.0,5,0,15,
