level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich heiße Buddy. Ich bin dein Deutschlehrer. Wie geht es dir?,100.0,2,0,3,
A1,Was ist das?,Das ist Buddy. Ich bin dein Deutschlehrer. Wir lernen zusammen Deutsch.,100.0,1,0,4,
A1,Ich heiße Anna. Und du?,Hallo Anna. Ich bin Buddy. Ich bin dein Deutschlehrer. Es freut mich.,33.3,1,2,2,anna(B1); freut(A2)
A1,Wie alt bist du?,Ich bin eine App. Ich habe keine Alter.,,0,0,2,
A1,Wo wohnst du?,Ich wohne in der App. Ich bin ein KI-Deutschlehrer.,,0,0,4,
A1,Ich wohne in Berlin.,Das ist gut. Berlin ist eine schöne Stadt.,100.0,3,0,1,
A1,Was magst du essen?,Ich mag gern Reis und Salat. Das ist sehr lecker.,100.0,3,0,1,
A1,Wie viele Geschwister hast du?,Ich habe keine Geschwister. Ich bin ein einzelnes Kind.,100.0,1,0,2,
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist Blau. Ich mag Blau sehr gern. Es ist eine schöne Farbe.,33.3,1,2,3,blau(A2); blau(A2)
A1,Das ist ein Hund.,"Ja, das ist ein Hund. Der Hund ist braun. Er ist sehr nett.",66.7,2,1,1,nett(A2)
A1,Guten Morgen! Wie geht es dir?,"Guten Morgen! Mir geht es gut, danke. Und dir?",100.0,2,0,2,
A1,Was machst du?,Ich bin dein Deutsch-Buddy. Ich helfe dir beim Lernen. Wie geht es dir heute?,100.0,2,0,4,
A1,Ich bin müde.,Das ist okay. Geh ins Bett und schlaf gut.,50.0,2,2,1,geh(A2); schlaf(B1)
A1,Danke schön!,Gerne! Ich helfe dir immer. Wie geht es dir heute?,100.0,1,0,3,
A1,Ich mag Äpfel.,Das ist gut. Ich mag auch Äpfel. Sie sind gesund und lecker.,50.0,1,1,2,gesund(A2)
A1,Wie spät ist es?,"Entschuldigung, ich kann die Uhrzeit nicht sehen. Bitte schau auf dein Handy.",50.0,1,1,3,schau(B1)
A1,Ich trinke gerne Wasser.,Das ist sehr gesund. Wasser ist gut fuer den Koerper.,50.0,1,1,2,gesund(A2)
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Ich bin eine App. Aber ich mag Katzen sehr gern.",100.0,1,0,3,
A1,Wie ist dein Name?,Ich bin Buddy. Ich bin dein Deutschlehrer. Wir lernen zusammen Deutsch.,100.0,1,0,4,
A1,Ich komme aus Spanien.,"Das ist sehr schön! Ich freue mich, dich kennenzulernen. Wie geht es dir heute?",100.0,1,0,4,
A2,Wie komme ich zum Bahnhof?,Gehen Sie geradeaus. Dann biegen Sie links ab. Der Bahnhof ist sehr nah.,66.7,2,1,4,nah(B1)
A2,Was kostet das?,Das kostet fünf Euro. Bitte zahlen Sie bar oder mit Karte.,100.0,3,0,3,
A2,"Ich möchte ein Kilo Äpfel, bitte.","Das ist ein guter Satz! Hier ist die korrekte Form: 'Ich möchte ein Kilo Äpfel kaufen, bitte.' Möchten Sie noch etwas anderes?",66.7,2,1,5,form(B1)
A2,Wann fährt der nächste Bus?,Der nächste Bus fährt in zehn Minuten ab. Bitte warten Sie auf dem Bahnsteig.,100.0,3,0,5,
A2,Wie ist das Wetter heute?,Das Wetter ist heute sehr schön und die Sonne scheint. Es ist warm und es regnet nicht. Es ist perfekt für einen Spaziergang im Park.,66.7,4,2,4,perfekt(B1); spaziergang(B1)
A2,Was hast du gestern gemacht?,Gestern habe ich Deutsch gelernt. Das hat Spaß gemacht. Hast du auch etwas Interessantes getan?,75.0,3,1,3,getan(B1)
A2,Ich gehe gerne ins Kino.,Das ist toll! Welchen Film magst du am liebsten?,100.0,2,0,2,
A2,Was machst du in deiner Freizeit?,Ich lese gern Bücher und höre Musik. Manchmal gehe ich auch spazieren. Das macht mir viel Spaß.,100.0,4,0,6,
A2,Ich suche ein Zimmer.,Das ist eine gute Idee. Ein Einzelzimmer ist oft ruhig. Hast du schon eine Unterkunft gefunden?,100.0,3,0,4,
A2,Können Sie mir helfen?,Hallo! Ich helfe Ihnen gerne. Was möchten Sie heute lernen?,100.0,1,0,4,
A2,Um wie viel Uhr beginnt der Kurs?,Der Kurs beginnt um 9 Uhr. Ist das gut für dich?,75.0,3,1,0,kurs(B1)
A2,Ich lerne seit drei Monaten Deutsch.,Das ist super! Deutsch lernen macht viel Spaß.,100.0,2,0,3,
A2,Was isst du zum Frühstück?,Ich esse oft Brot mit Käse. Manchmal trinke ich auch Kaffee.,100.0,3,0,4,
A2,Welchen Beruf hat dein Vater?,Mein Vater ist Lehrer. Er unterrichtet Mathe an der Schule. Das ist ein toller Job!,50.0,1,1,5,unterrichtet(B1)
A2,Ich habe Kopfschmerzen.,"Das tut mir leid. Trink viel Wasser und ruhe dich aus. Wenn die Schmerzen bleiben, geh zum Arzt.",100.0,5,0,4,
A2,Wie war dein Wochenende?,Mein Wochenende war sehr schön. Ich habe viel gelesen und entspannt. Hast du etwas Lustiges gemacht?,100.0,1,0,5,
A2,Ich möchte einen Tisch für zwei Personen reservieren.,"Guten Tag! Ich kann Ihnen leider nicht helfen, da ich ein Sprachlerner bin. Vielleicht versuchen Sie es bei einem Restaurant in Ihrer Nähe.",100.0,3,0,7,
A2,Wo kann ich Briefmarken kaufen?,Briefmarken kaufen Sie am besten bei der Post. Dort finden Sie alles Wichtige.,100.0,2,0,5,
A2,Was für Hobbys hast du?,Ich bin eine KI und habe keine echten Hobbys. Aber ich helfe dir beim Deutschlernen. Das macht mir viel Spaß!,100.0,2,0,5,
A2,Wie oft gehst du einkaufen?,Ich gehe oft einkaufen. Das macht mir viel Spaß. Wir kaufen frisches Brot und Obst.,100.0,4,0,5,
B1,Was denkst du über das Leben in einer Großstadt?,"Das Leben in einer Großstadt ist oft sehr laut und laut, aber es gibt auch viele interessante Dinge zu tun. Man kann viele Freunde treffen und neue Erfahrungen sammeln, obwohl es manchmal stressig ist.",100.0,8,0,8,
B1,Erzähl mir von deinem letzten Urlaub.,Ich war im letzten Sommer auf einer kleinen Insel in der Ostsee. Das Wetter war herrlich und ich habe viel Zeit am Strand verbracht. Es war eine sehr entspannende Zeit für mich.,100.0,6,0,6,
B1,Was sind deine Pläne für die Zukunft?,"Da ich eine KI bin, habe ich keine persönlichen Pläne wie ein Mensch. Ich freue mich jedoch jeden Tag, wenn ich dir beim Deutschlernen helfen kann. Lass uns gemeinsam schauen, wie du dein Sprachniveau weiter verbessern kannst!",100.0,4,0,11,
B1,Warum lernst du Deutsch?,"Ich lerne Deutsch, um dich besser zu verstehen und dir bei deiner Sprachreise zu helfen. Es macht mir Spaß, neue Wörter mit dir zu üben und Fortschritte zu sehen. Wie sieht das bei dir aus? Warum möchtest du die Sprache lernen?",100.0,4,0,12,
