level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich heiße Buddy. Ich bin dein Deutschlehrer. Wie geht es dir heute?,100.0,2,0,4,
A1,Was ist das?,Das ist Buddy. Ich bin dein Lehrer. Wir lernen Deutsch zusammen.,100.0,1,0,4,
A1,Ich heiße Anna. Und du?,Hallo Anna! Ich bin Buddy. Es freut mich sehr.,33.3,1,2,1,anna(B1); freut(A2)
A1,Wie alt bist du?,Ich bin eine KI. Ich habe kein Alter. Aber ich helfe dir gerne beim Deutschlernen.,,0,0,5,
A1,Wo wohnst du?,Ich wohne in Berlin. Ich bin ein KI-Assistent. Und du?,100.0,1,0,3,
A1,Ich wohne in Berlin.,Das ist toll! Berlin ist eine schöne Stadt. Ich wohne auch gerne in Berlin.,75.0,3,1,3,toll(A2)
A1,Was magst du essen?,Ich esse gern Reis und Salat. Das ist sehr gesund und lecker.,75.0,3,1,2,gesund(A2)
A1,Wie viele Geschwister hast du?,Ich habe keine Geschwister. Ich bin ein Einzelkind.,0.0,0,1,1,einzelkind(B1)
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist Blau. Es ist eine sehr schöne Farbe.,0.0,0,1,3,blau(A2)
A1,Das ist ein Hund.,Das ist ein Hund. Er ist sehr nett.,50.0,1,1,0,nett(A2)
A1,Guten Morgen! Wie geht es dir?,Guten Morgen! Mir geht es gut. Und dir?,100.0,2,0,2,
A1,Was machst du?,Ich helfe dir beim Deutsch lernen. Das macht mir großen Spaß. Hast du Fragen?,100.0,2,0,5,
A1,Ich bin müde.,Das ist okay. Geh jetzt ins Bett. Schlaf gut und gut ausruhen.,60.0,3,2,2,geh(A2); schlaf(B1)
A1,Danke schön!,Gern geschehen! Wir sprechen weiter Deutsch.,100.0,2,0,3,
A1,Ich mag Äpfel.,Das ist gut. Äpfel sind gesund. Iss mehr Obst!,50.0,2,2,1,gesund(A2); iss(B1)
A1,Wie spät ist es?,"Ich weiß nicht, wie spät es ist. Bitte schaue auf deine Uhr.",100.0,1,0,3,
