level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
A1,Hallo! Wie heißt du?,Hallo! Ich heiße Buddy. Wie heißt du?,100.0,1,0,3,
A1,Was ist das?,Das ist ein Buch. Es ist neu.,100.0,2,0,0,
A1,Ich heiße Anna. Und du?,"Ich heiße Buddy. Schön, dich kennenzulernen, Anna!",0.0,0,1,4,anna(B1)
A1,Wie alt bist du?,Ich bin ein Programm. Ich habe kein Alter.,0.0,0,1,1,programm(A2)
A1,Wo wohnst du?,Ich wohne im Computer. Wo wohnst du?,,0,0,3,
A1,Ich wohne in Berlin.,Berlin ist schön! Ich mag Berlin auch.,100.0,2,0,1,
A1,Was magst du essen?,Ich mag Brot und Käse. Und du?,100.0,1,0,1,
A1,Wie viele Geschwister hast du?,Ich habe keine Geschwister. Ich bin ein Programm.,0.0,0,1,1,programm(A2)
A1,Was ist deine Lieblingsfarbe?,Meine Lieblingsfarbe ist blau. Und deine?,0.0,0,1,1,blau(A2)
A1,Das ist ein Hund.,"Ja, das ist ein Hund! Er ist süß.",100.0,1,0,1,
A1,Guten Morgen! Wie geht es dir?,"Guten Morgen! Mir geht es gut, danke.",100.0,2,0,2,
A1,Was machst du?,Ich lerne mit dir Deutsch. Das macht Spaß!,100.0,2,0,2,
A1,Ich bin müde.,Oh nein! Trink ein Glas Wasser.,100.0,2,0,2,
A1,Danke schön!,Gern geschehen! Bis bald.,100.0,3,0,1,
A1,Ich mag Äpfel.,Äpfel sind lecker! Ich mag sie auch.,,0,0,2,
A1,Wie spät ist es?,Ich habe keine Uhr. Schau auf dein Handy.,66.7,2,1,0,schau(B1)
A1,Ich trinke gerne Wasser.,Wasser ist gesund! Ich trinke auch gern Wasser.,50.0,1,1,3,gesund(A2)
A1,Hast du eine Katze?,"Nein, ich habe keine Katze. Hast du eine?",,0,0,1,
A1,Wie ist dein Name?,Mein Name ist Buddy. Wie ist dein Name?,,0,0,3,
A1,Ich komme aus Spanien.,Spanien ist toll! Ich komme aus dem Computer.,0.0,0,1,3,toll(A2)
A2,Wie komme ich zum Bahnhof?,Geh geradeaus und dann links. Der Bahnhof ist nah.,75.0,3,1,1,nah(B1)
A2,Was kostet das?,Das weiß ich nicht genau. Frag bitte im Geschäft.,50.0,1,1,2,frag(B1)
A2,"Ich möchte ein Kilo Äpfel, bitte.",Gute Wahl! Äpfel schmecken besonders gut im Herbst.,50.0,1,1,5,wahl(B1)
A2,Wann fährt der nächste Bus?,Der Bus fährt oft alle zehn Minuten. Schau auf den Fahrplan.,80.0,4,1,2,schau(B1)
